id_sismo_principal,Date(UTC),Latitude,Longitude,Depth,Magnitude,celda_geografica,zona_sismica,distancia_a_costa_km,estacion_año,es_sismo_somero,intensidad_categoria,energia_liberada_estimada,es_mainshock,actividad_M5_15d,actividad_M6_30d,actividad_M7_90d,actividad_reciente_completa,brecha_magnitud_zona,sismos_previos_celda,densidad_sismica_zona,ratio_replicas_24h,ratio_replicas_48h,ratio_replicas_72h,magnitud_umbral,existe_replica_fuerte,similitud_promedio_vecinos,conflicto_modelos,ventana_temporal_replica
2014-03-16T21:16:29_-19.96_-70.81,2014-03-16 21:16:29,-19.96,-70.81,21,6.7,-20_-71,Norte,169.37552936925275,Otoño,1,Moderado,707945784384140.2,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,5.7,1,,,1
2014-03-22T12:59:54_-19.84_-71.38,2014-03-22 12:59:54,-19.84,-71.38,32,5.8,-20_-71,Norte,184.1289770466675,Otoño,1,Suave,31622776601683.797,1,5,1,0,6,-0.9000000000000004,8,0.0006909684424809,0.75,0.875,0.875,4.8,1,,,1
2014-03-23T18:20:00_-19.79_-70.94,2014-03-23 18:20:00,-19.79,-70.94,34,6.1,-20_-71,Norte,156.25720187254697,Otoño,1,Moderado,89125093813374.4,1,7,1,0,8,-0.6000000000000005,10,0.0008637105531011,0.7,0.9,0.9,5.1,1,,,1
2014-04-07T13:43:20_-20.13_-70.91,2014-04-07 13:43:20,-20.13,-70.91,36,6.1,-20_-71,Norte,190.53519661866375,Otoño,1,Moderado,89125093813374.4,1,17,4,1,22,-2.1,39,0.0033684711570944,0.7948717948717948,0.8974358974358975,0.9230769230769232,5.1,1,,,1
2014-04-11T00:01:44_-20.72_-70.65,2014-04-11 00:01:44,-20.72,-70.65,39,6.2,-21_-71,Norte,248.84442676210745,Otoño,1,Moderado,125892541179417.14,1,8,4,0,12,-0.0999999999999996,21,0.001825667142795,0.8095238095238095,0.9047619047619048,0.9523809523809524,5.2,1,,,2
2014-05-17T09:11:07_-20.0_-70.97,2014-05-17 09:11:07,-20.0,-70.97,37,5.5,-20_-71,Norte,179.04075881378787,Otoño,1,Suave,11220184543019.652,1,2,0,1,3,-2.6999999999999997,70,0.0060459738717079,0.7428571428571429,0.8428571428571429,0.8857142857142857,4.5,1,,,1
2014-05-30T15:32:27_-21.3_-70.0,2014-05-30 15:32:27,-21.3,-70.0,60,5.5,-21_-70,Norte,264.51982561401525,Otoño,1,Suave,11220184543019.652,1,2,0,1,3,-2.1,12,0.0010432383673114,0.4166666666666667,0.4166666666666667,0.4166666666666667,4.5,1,,,1
2014-06-19T19:54:05_-19.82_-70.94,2014-06-19 19:54:05,-19.82,-70.94,40,6.0,-20_-71,Norte,159.3227223110994,Invierno,1,Moderado,63095734448019.43,1,1,0,1,2,-2.1999999999999997,78,0.0067369423141888,0.7307692307692307,0.8205128205128205,0.8589743589743589,5.0,1,,,1
2014-07-13T07:18:24_-30.74_-70.67,2014-07-13 07:18:24,-30.74,-70.67,86,5.7,-31_-71,Centro,108.73579244159323,Invierno,0,Suave,22387211385683.47,1,0,0,0,0,0.2999999999999998,4,0.0003787463346206,0.0,0.0,0.0,4.7,1,,,1
2015-08-23T23:10:03_-29.72_-71.25,2015-08-23 23:10:03,-29.72,-71.25,50,6.0,-30_-71,Norte,20.01508679602054,Invierno,1,Moderado,63095734448019.43,1,0,0,0,0,0.4000000000000003,16,0.0014994893770041,0.0,0.1875,0.1875,5.0,1,,,1
2015-09-16T22:54:28_-31.55_-71.86,2015-09-16 22:54:28,-31.55,-71.86,11,8.4,-32_-72,Centro,168.18726400120082,Primavera,1,Extremo,2.5118864315095923e+17,1,0,0,0,0,3.1000000000000005,5,0.0004785238224827,0.0,0.0,0.0,7.4,1,,,1
2015-09-17T20:40:34_-30.04_-71.67,2015-09-17 20:40:34,-30.04,-71.67,33,5.5,-30_-72,Centro,43.34886616069443,Primavera,1,Suave,11220184543019.652,1,1,0,0,1,-1.0,7,0.0006560266024393,0.2857142857142857,0.2857142857142857,0.2857142857142857,4.5,1,,,1
